date,time,username,tweet,likes_count
2021-02-12,18:50:50,paulkrugman,Some guys talking about Covid relief  https://t.co/di9AvBodS9,197
2021-02-12,18:49:36,feraljokes,He's conveniently left out of the story that he infected a bartender with COVID-19,25504
2021-02-12,18:41:42,justinbrannan,Day 4 (I think) of COVID. Feels like shoegaze sounds.,94
2021-02-12,18:37:49,nywfp,It is clear that the expanded emergency powers granted to @NYGovCuomo are no longer appropriate.   Add your name to join us in calling for Cuomo's emergency powers to be rescinded and for an independent investigation of his handling of the COVID crisis:  https://t.co/4bvWdS4yNn,54
2021-02-12,18:27:37,newsweek,"Dr. Fauci says kids could get COVID vaccine by September, all adults by April  https://t.co/gB1o1YON0q",87
2021-02-12,17:47:03,jillfilipovic,"Absurd that this is controversial. It's not crazy to require that, in a deadly pandemic, you show a recent negative Covid test or evidence of vaccination before you step into a sealed metal tube and share air with dozens of other people for several hours.",66
2021-02-12,17:45:11,nycmayor,"So many of our elders are homebound. We need to make sure they get the COVID-19 vaccine too. We’re bringing the vaccine to retirement communities, vaccinating 25,000 home health aides, and when we get the right supply, sending medical personnel directly to homebound seniors.",83
2021-02-12,17:40:06,nytimes,Three men in Baltimore have been accused by federal prosecutors of putting up a fake duplicate of the Moderna website to sell Covid-19 vaccines for $30 a dose.  https://t.co/KTzuUgdSIl,165
2021-02-12,17:40:04,janicedean,Happening.   Andrew Cuomo: The story keeps getting worse about nursing homes and Covid-19 - CNNPolitics  https://t.co/IWJXsb5PG4,823
2021-02-12,17:38:13,abcworldnews,New York Gov. Andrew Cuomo's office concealed data on COVID-19 nursing home deaths out of fear the Trump administration would use it against them.  https://t.co/LFJJlWP4vO,119
2021-02-12,17:38:09,cmasisak22,Same 18 #NJDevils on the NHL's COVID-19 list today:   Bastian;  Bratt;  Carrick;  Comrie;  Gusev;  Hischier;  Hughes;  Johnsson;  Kulikov;  Kuokkanen;  McLeod;  Palmieri;  Severson;  Smith;  Tennyson;  Vatanen;  Zacha;  Zajac,62
2021-02-12,17:37:32,nmalliotakis,Not to mention that same aide is serving as an “advisor” to The White House for COVID relief. Here’s some advice: don’t put positive patients at facilities where our most vulnerable seniors live. @SteveScalise,625
2021-02-12,17:22:18,marshallproj,"In the Netflix show “The Queens Gambit,” the main character is able to play an entire game of chess in her mind. After one prison banned board games during COVID-19, two people serving time inside began to play the same way.  https://t.co/nAikKhyMk0",60
2021-02-12,17:20:08,nytimes,Advocates for homeless people in New York City sued the MTA over Covid-19 rules that the suit says unfairly target people who shelter in the city’s subways. The use of the subways for shelter has become a hot-button issue.  https://t.co/06nVi43Aep,132
2021-02-12,17:16:34,nycmayor,"Today, Eva was able to get the COVID-19 vaccine at our Nostrand Houses vaccination site. She was nervous at first, but her 95-year-old sister got the vaccine, so she knew she could too.  This is about making sure everyone, especially our seniors, has a chance to get vaccinated.  https://t.co/TI0WRE1a4O",91
2021-02-12,17:06:50,nymag,Eradicating the novel coronavirus may take centuries. But ending the COVID crisis should only take a few more months  https://t.co/cPvdxDD1NB,77
2021-02-12,17:00:03,cbssunday,A bakery in Germany is selling COVID-19 vaccine-themed doughnuts. The syringe is filled with a lemon-ginger shot and the doughnut has a passion fruit-coconut-chia filling. Check out how they are made.  https://t.co/2OzygT0RaF,75
2021-02-12,16:52:28,judgejeanine,NY Governor Cuomo's aide told lawmakers that data was withheld on COVID's toll in nursing homes to forestall potential investigations. @RepMattGaetz joins 'Justice' tomorrow at 9pm ET to discuss.  https://t.co/QEFvgeDaf9,1470
2021-02-12,16:45:08,abc7ny,"Democrats pushed half of President Biden's $1.9 trillion COVID relief plan through a House committee Thursday, advancing $1,400 payments for millions of Americans and other initiatives.   https://t.co/1zfjVsKNDY #stimulus #covidreliefcheck #abc7ny #news  https://t.co/GNYd5ZqcEd",90
2021-02-12,16:30:38,beardfoundation,"We are excited to partner with The History Channel and their mission to preserve historic, landmark restaurants in America that are affected by the COVID-19 pandemic. Tag @History and #saveourrestaurants, and The History Channel will donate $1 to our #openforgood campaign.  https://t.co/PYObbWJNEC",100
2021-02-12,16:24:10,nypost,"Gangrene, ulcers, rashes: More bizarre COVID-19 symptoms revealed  https://t.co/u4zCyYLvG1  https://t.co/PVgLCH0Trz",169
2021-02-12,16:04:36,anacabrera,CDC Dir. on new school #covid guidance: “I can assure you that this is free from political meddling”,102
2021-02-12,16:03:56,nypost,"WHO backtracks, says COVID-19 lab leak possibility not 'discarded'  https://t.co/3IY0ncX4BQ  https://t.co/4FSor7kOT8",254
2021-02-12,15:55:55,taranaburke,@LeslieMac @Luvvie Right. And based on this the *editor* agreed to rescind the request? Based on what? Is Covid catchable through the interwebs? Like WHAT’S THE REASON??? *cardi voice implied*   It’s just dumb. “Raises red flags” that say WHAT?? Ugh. It frustrates me.,115
2021-02-12,15:51:10,iatse,Pretty wild the same politicians who fought against adequate Covid relief argue they should be focused on continuing to fight against adequate covid relief.,65
2021-02-12,15:33:10,gpny,The Green Party of New York today called for the impeachment of Gov. Andrew Cuomo after shocking revelations that his administration purposefully lied to the public for political purposes about the level of deaths in nursing homes during the COVID-19 pandemic.,172
2021-02-12,15:26:09,maxboot,"Tucker left his audience with the impression that covid vaccines are part of a plot against them by powerful, shadowy forces.   One fact Carlson did not mention: His boss, Rupert Murdoch, has already been vaccinated.  https://t.co/8HcgConVSD",586
2021-02-12,15:25:04,nytimes,"More than 4,000 people who died from Covid-19 in Ohio over the last several months went uncounted, state health officials said. They'll begin reporting them publicly this week.  https://t.co/zLq8PpyoRr",424
2021-02-12,15:23:14,cbsnews,"Trump's defense team is not using most of the 16 hours it is allowed for the impeachment trial. Attorney Bruce Castor tells senators he hopes they ""take back these hours and use them to get delivery of COVID relief to the American people""  https://t.co/YUg7sgxuDX  https://t.co/LUQKMjxK6I",76
2021-02-12,15:21:01,cbsnews,"Trump's defense team is not using all of the 16 hours it is allowed for the impeachment trial. Attorney Bruce Castor says he hopes senators will ""take back these hours and use them  to get delivery of COVID relief to the American people""  https://t.co/YUg7sgxuDX  https://t.co/op84h84yNk",94
2021-02-12,15:20:30,kathbarbadoro,"you know how during the OJ trial all the late night hosts were goofing on it and all of Norm MacDonald's weekend update punchlines were like ""OJ SIMPSON CUT HIS WIFE'S HEAD OFF"" That's how I feel about writing topical jokes during covid",276
