date,new_cases,new_deaths
2020-03-01,,
2020-03-02,0.0,0.0
2020-03-03,1.0,0.0
2020-03-04,0.0,0.0
2020-03-05,2.0,0.0
2020-03-06,1.0,0.0
2020-03-07,7.0,0.0
2020-03-08,2.0,0.0
2020-03-09,6.0,0.0
2020-03-10,17.0,0.0
2020-03-11,15.0,0.0
2020-03-12,44.0,0.0
2020-03-13,59.0,0.0
2020-03-14,114.0,1.0
2020-03-15,61.0,4.0
2020-03-16,134.0,2.0
2020-03-17,182.0,4.0
2020-03-18,698.0,14.0
2020-03-19,1133.0,6.0
2020-03-20,1942.0,23.0
2020-03-21,1807.0,21.0
2020-03-22,2839.0,44.0
2020-03-23,3264.0,36.0
2020-03-24,2614.0,75.0
2020-03-25,5118.0,100.0
2020-03-26,3121.0,105.0
2020-03-27,2327.0,125.0
2020-03-28,5410.0,265.0
2020-03-29,3064.0,166.0
2020-03-30,4392.0,211.0
2020-03-31,5143.0,273.0
2020-04-01,4396.0,373.0
2020-04-02,4486.0,304.0
2020-04-03,5541.0,496.0
2020-04-04,6333.0,573.0
2020-04-05,4452.0,425.0
2020-04-06,4827.0,1211.0
2020-04-07,4945.0,774.0
2020-04-08,5175.0,810.0
2020-04-09,5454.0,808.0
2020-04-10,5575.0,732.0
2020-04-11,6138.0,753.0
2020-04-12,5099.0,714.0
2020-04-13,3767.0,648.0
2020-04-14,3926.0,761.0
2020-04-15,8021.0,709.0
2020-04-16,4970.0,543.0
2020-04-17,4380.0,174.0
2020-04-18,4049.0,128.0
2020-04-19,3318.0,1221.0
2020-04-20,2511.0,442.0
2020-04-21,2666.0,439.0
2020-04-22,3240.0,446.0
2020-04-23,3540.0,402.0
2020-04-24,4754.0,393.0
2020-04-25,4770.0,392.0
2020-04-26,3255.0,340.0
2020-04-27,2357.0,335.0
2020-04-28,2024.0,385.0
2020-04-29,2637.0,391.0
2020-04-30,2660.0,212.0
2020-05-01,2147.0,122.0
2020-05-02,2559.0,90.0
2020-05-03,2238.0,430.0
2020-05-04,1306.0,129.0
2020-05-05,1284.0,139.0
2020-05-06,1452.0,274.0
2020-05-07,1883.0,148.0
2020-05-08,1504.0,69.0
2020-05-09,1506.0,114.0
2020-05-10,993.0,112.0
2020-05-11,890.0,127.0
2020-05-12,774.0,173.0
2020-05-13,1074.0,79.0
2020-05-14,1269.0,89.0
2020-05-15,1809.0,68.0
2020-05-16,1009.0,99.0
2020-05-17,1005.0,143.0
2020-05-18,628.0,84.0
2020-05-19,596.0,78.0
2020-05-20,682.0,46.0
2020-05-21,1115.0,69.0
2020-05-22,791.0,78.0
2020-05-23,764.0,52.0
2020-05-24,869.0,76.0
2020-05-25,638.0,43.0
2020-05-26,542.0,55.0
2020-05-27,670.0,49.0
2020-05-28,1073.0,51.0
2020-05-29,946.0,65.0
2020-05-30,739.0,31.0
